"dataset","backend","graph_mode","knn_recall_at_k","affinity_edge_jaccard","affinity_weight_pearson","affinity_weight_spearman","affinity_weight_l1_similarity","umap_graph_edge_jaccard","umap_graph_weight_pearson","umap_graph_weight_spearman","umap_graph_weight_l1_similarity","validation_sample_n","suite","profile","source_file"
"FlowRepository_FR-FCM-ZYRM_files","cuda","fuzzy",1,1,0.999999999999994,0.999999999662407,0.999999988315004,1,0.999999999923857,0.999981986792142,0.999996876745564,2000,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/standard/cuda/20260727_073247_1118068/knn_affinity_umap_graph_agreement.csv"
"FlowRepository_FR-FCM-ZYRM_files","cuda","binary",1,1,0.999999999999994,0.999999999662407,0.999999988315004,1,,,1,2000,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/standard/cuda/20260727_073247_1118068/knn_affinity_umap_graph_agreement.csv"
"MNIST","cpu","fuzzy",0.999683333333333,0.999154035953472,0.998160643655527,0.999902830191502,0.999683333333333,0.999154035953472,0.999940905094896,0.999971325965246,0.999808984878623,2000,"landmark","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/landmark/cpu1/20260727_080401_1118087/knn_affinity_umap_graph_agreement.csv"
"MNIST","cpu","binary",0.999683333333333,0.999154035953472,0.998160643655527,0.999902830191502,0.999683333333333,0.999154035953472,-0.000422507481970468,,0.999553340542574,2000,"landmark","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/landmark/cpu1/20260727_080401_1118087/knn_affinity_umap_graph_agreement.csv"
"MNIST","cpu","fuzzy",0.999683333333333,0.999154035953472,0.998160643655527,0.999902830191502,0.999683333333333,0.999154035953472,0.999940905094896,0.999971325965246,0.999808984878623,2000,"landmark","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/landmark/cpu4/20260727_074619_1118098/knn_affinity_umap_graph_agreement.csv"
"MNIST","cpu","binary",0.999683333333333,0.999154035953472,0.998160643655527,0.999902830191502,0.999683333333333,0.999154035953472,-0.000422507481970468,,0.999553340542574,2000,"landmark","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/landmark/cpu4/20260727_074619_1118098/knn_affinity_umap_graph_agreement.csv"
"MNIST","cuda","fuzzy",1,1,1,1,1,1,0.999999999999874,0.999998430890001,0.99999994467411,2000,"landmark","cuda","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/landmark/cuda/20260727_094520_1118109/knn_affinity_umap_graph_agreement.csv"
"MNIST","cuda","binary",1,1,1,1,1,1,,,1,2000,"landmark","cuda","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/landmark/cuda/20260727_094520_1118109/knn_affinity_umap_graph_agreement.csv"
"MNIST","cpu","fuzzy",0.999683333333333,0.999154035953472,0.998160643655527,0.999902830191502,0.999683333333333,0.999154035953472,0.999940905094896,0.999971325965246,0.999808984878623,2000,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/standard/cpu1/20260727_073247_1118051/knn_affinity_umap_graph_agreement.csv"
"MNIST","cpu","binary",0.999683333333333,0.999154035953472,0.998160643655527,0.999902830191502,0.999683333333333,0.999154035953472,-0.000422507481970468,,0.999553340542574,2000,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/standard/cpu1/20260727_073247_1118051/knn_affinity_umap_graph_agreement.csv"
"MNIST","cpu","fuzzy",0.999683333333333,0.999154035953472,0.998160643655527,0.999902830191502,0.999683333333333,0.999154035953472,0.999940905094896,0.999971325965246,0.999808984878623,2000,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/standard/cpu4/20260727_073247_1118062/knn_affinity_umap_graph_agreement.csv"
"MNIST","cpu","binary",0.999683333333333,0.999154035953472,0.998160643655527,0.999902830191502,0.999683333333333,0.999154035953472,-0.000422507481970468,,0.999553340542574,2000,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/standard/cpu4/20260727_073247_1118062/knn_affinity_umap_graph_agreement.csv"
