"dataset","dataset_label","method","display_label","family","backend","profile","timing_interface","timing_scope","runtime_measure","n_runs","runtime","runtime_q1","runtime_q3"
"TabulaMuris","Tabula Muris","uwot_default","uwot default [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,70.198,69.97,70.336
"TabulaMuris","Tabula Muris","uwot_fast_sgd","uwot fast SGD [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,44.451,43.977,45.0665
"TabulaMuris","Tabula Muris","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary [CUDA]","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.897,0.8915,0.9125
"TabulaMuris","Tabula Muris","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy [CUDA]","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.811,0.807,0.8255
"TabulaMuris","Tabula Muris","rapids_cuml_umap_full","RAPIDS cuML UMAP via R (total call) [CUDA]","UMAP","cuda","cuda","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,3.638,3.622,3.6435
"TabulaMuris","Tabula Muris","rapids_cuml_umap_full_direct","RAPIDS cuML UMAP direct (fit only) [CUDA]","UMAP","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,2.3722264803946,2.35661225859076,2.37270225817337
"USPS","USPS","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,8.262,8.261,8.2895
"USPS","USPS","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,3.956,3.951,3.9615
"USPS","USPS","python_umap_learn","Python umap-learn via R (total call) [CPU]","UMAP","cpu","cpu4","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,22.939,22.5165,23.2385
"USPS","USPS","python_umap_learn_direct","Python umap-learn direct (fit only) [CPU]","UMAP","cpu","cpu4","direct Python","direct_python_fit","direct_python_fit_sec",3,21.3630882289726,20.9046891705365,21.4163335064659
"USPS","USPS","umap_package","umap [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,78.252,77.8485,81.5465
"USPS","USPS","uwot_default","uwot default [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,8.32,8.242,8.3635
"USPS","USPS","uwot_fast_sgd","uwot fast SGD [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,5.841,5.8285,5.8455
"USPS","USPS","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary [CUDA]","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.563,0.5595,0.57
"USPS","USPS","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy [CUDA]","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.57,0.5625,0.57
"USPS","USPS","rapids_cuml_umap_full","RAPIDS cuML UMAP via R (total call) [CUDA]","UMAP","cuda","cuda","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,2.979,2.9775,2.987
"USPS","USPS","rapids_cuml_umap_full_direct","RAPIDS cuML UMAP direct (fit only) [CUDA]","UMAP","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,1.75825468637049,1.75695904763416,1.77371809491888
"flow18","flow18","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,643.102,641.449,643.221
"flow18","flow18","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,221.333,220.2215,221.7285
"flow18","flow18","python_umap_learn","Python umap-learn via R (total call) [CPU]","UMAP","cpu","cpu4","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,1143.379,1106.332,1154.2565
"flow18","flow18","python_umap_learn_direct","Python umap-learn direct (fit only) [CPU]","UMAP","cpu","cpu4","direct Python","direct_python_fit","direct_python_fit_sec",3,1126.65822762297,1109.20507570845,1146.921354071
"flow18","flow18","uwot_default","uwot default [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,1007.355,1005.926,1007.9715
"flow18","flow18","uwot_fast_sgd","uwot fast SGD [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,689.098,688.1915,690.1035
"flow18","flow18","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary [CUDA]","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,2.574,2.571,2.5755
"flow18","flow18","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy [CUDA]","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,1.763,1.7575,1.7765
"flow18","flow18","rapids_cuml_umap_full","RAPIDS cuML UMAP via R (total call) [CUDA]","UMAP","cuda","cuda","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,12.095,11.9695,12.1205
"flow18","flow18","rapids_cuml_umap_full_direct","RAPIDS cuML UMAP direct (fit only) [CUDA]","UMAP","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,10.7477177632973,10.6208542222158,10.7515285941773
"mass41","mass41","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,648.497,648.0655,650.0025
"mass41","mass41","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,214.018,213.9825,214.781
"mass41","mass41","python_umap_learn","Python umap-learn via R (total call) [CPU]","UMAP","cpu","cpu4","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,1118.253,1084.5035,1118.6075
"mass41","mass41","python_umap_learn_direct","Python umap-learn direct (fit only) [CPU]","UMAP","cpu","cpu4","direct Python","direct_python_fit","direct_python_fit_sec",3,1121.98841348523,1091.36205221363,1128.05325653544
"mass41","mass41","uwot_default","uwot default [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,661.551,658.405,661.556
"mass41","mass41","uwot_fast_sgd","uwot fast SGD [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,347.603,346.8565,348.8995
"mass41","mass41","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary [CUDA]","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,2.997,2.9645,3.015
"mass41","mass41","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy [CUDA]","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,2.093,2.089,2.099
"mass41","mass41","rapids_cuml_umap_full","RAPIDS cuML UMAP via R (total call) [CUDA]","UMAP","cuda","cuda","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,9.576,9.5345,9.6345
"mass41","mass41","rapids_cuml_umap_full_direct","RAPIDS cuML UMAP direct (fit only) [CUDA]","UMAP","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,8.14320587273687,8.14034624071791,8.15092507284134
"COIL20","COIL-20","KlugerLab_FItSNE","FIt-SNE [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,18.756,18.714,19.6425
"COIL20","COIL-20","Rtsne_full","Rtsne [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,5.051,5.0505,5.0575
"COIL20","COIL-20","fastEmbedR_tsne_cpu_full","fastEmbedR t-SNE [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,8.719,8.6245,8.768
"COIL20","COIL-20","python_opentsne_fft","Python openTSNE via R (total call) [CPU]","t-SNE","cpu","cpu4","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,36.631,35.3375,38.602
"COIL20","COIL-20","python_opentsne_fft_direct","Python openTSNE direct (fit only) [CPU]","t-SNE","cpu","cpu4","direct Python","direct_python_fit","direct_python_fit_sec",3,30.9538748310879,30.3245661696419,32.018502243096
"COIL20","COIL-20","fastEmbedR_tsne_cuda_full","fastEmbedR t-SNE [CUDA]","t-SNE","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,6.399,6.397,6.464
"COIL20","COIL-20","rapids_cuml_tsne_full","RAPIDS cuML t-SNE via R (total call) [CUDA]","t-SNE","cuda","cuda","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,5.812,5.8055,6.1385
"COIL20","COIL-20","rapids_cuml_tsne_full_direct","RAPIDS cuML t-SNE direct (fit only) [CUDA]","t-SNE","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,2.11078825686127,2.10531478840858,2.12195726763457
"FashionMNIST","Fashion-MNIST","KlugerLab_FItSNE","FIt-SNE [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,80.747,80.2775,83.2065
"FashionMNIST","Fashion-MNIST","Rtsne_full","Rtsne [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,68.523,68.07,68.7755
"FashionMNIST","Fashion-MNIST","fastEmbedR_tsne_cpu_full","fastEmbedR t-SNE [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,43.96,43.403,44.6105
"FashionMNIST","Fashion-MNIST","python_opentsne_fft","Python openTSNE via R (total call) [CPU]","t-SNE","cpu","cpu4","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,120.127,119.67,121.907
"FashionMNIST","Fashion-MNIST","python_opentsne_fft_direct","Python openTSNE direct (fit only) [CPU]","t-SNE","cpu","cpu4","direct Python","direct_python_fit","direct_python_fit_sec",3,109.011737803929,108.550643150462,111.20113939885
"FashionMNIST","Fashion-MNIST","fastEmbedR_tsne_cuda_full","fastEmbedR t-SNE [CUDA]","t-SNE","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,1.93,1.924,1.978
"FashionMNIST","Fashion-MNIST","rapids_cuml_tsne_full","RAPIDS cuML t-SNE via R (total call) [CUDA]","t-SNE","cuda","cuda","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,6.78,6.652,7.8165
"FashionMNIST","Fashion-MNIST","rapids_cuml_tsne_full_direct","RAPIDS cuML t-SNE direct (fit only) [CUDA]","t-SNE","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,2.91078185662627,2.86363128572702,2.94125327048823
"FlowRepository_FR-FCM-ZYRM_files","FlowRepository","KlugerLab_FItSNE","FIt-SNE [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,3059.239,3057.445,3074.7765
"FlowRepository_FR-FCM-ZYRM_files","FlowRepository","fastEmbedR_tsne_cpu_full","fastEmbedR t-SNE [CPU]","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,1315.03,1312.935,1324.2305
"FlowRepository_FR-FCM-ZYRM_files","FlowRepository","fastEmbedR_tsne_cuda_full","fastEmbedR t-SNE [CUDA]","t-SNE","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,90.707,90.587,90.962
